"Statistic Label","Year","Commodity Group","UNIT","VALUE"
"Harmonised Index of Consumer Prices","2013","Wine (COICOP 02.1.2)","Base 2015=100","100.4"
"Harmonised Index of Consumer Prices","2013","Beer (COICOP 02.1.3)","Base 2015=100","99.8"
"Harmonised Index of Consumer Prices","2013","Tobacco (COICOP 02.2)","Base 2015=100","92.3"
"Harmonised Index of Consumer Prices","2013","Clothing and footwear (COICOP 03)","Base 2015=100","107.4"
"Harmonised Index of Consumer Prices","2013","Clothing (COICOP 03.1)","Base 2015=100","107.9"
"Harmonised Index of Consumer Prices","2013","Clothing materials (COICOP 03.1.1)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2013","Garments (COICOP 03.1.2)","Base 2015=100","108.7"
"Harmonised Index of Consumer Prices","2013","Other articles of clothing and clothing accessories (COICOP 03.1.3)","Base 2015=100","96.2"
"Harmonised Index of Consumer Prices","2013","Cleaning, repair and hire of clothing (COICOP 03.1.4)","Base 2015=100","99.3"
"Harmonised Index of Consumer Prices","2013","Footwear (COICOP 03.2)","Base 2015=100","105.2"
"Harmonised Index of Consumer Prices","2013","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","90.7"
"Harmonised Index of Consumer Prices","2013","Actual rentals for housing (COICOP 04.1)","Base 2015=100","85.5"
"Harmonised Index of Consumer Prices","2013","Maintenance and repair of the dwelling (COICOP 04.3)","Base 2015=100","96.4"
"Harmonised Index of Consumer Prices","2013","Materials for the maintenance and repair of the dwelling (COICOP 04.3.1)","Base 2015=100","100.4"
"Harmonised Index of Consumer Prices","2013","Services for the maintenance and repair of the dwelling (COICOP 04.3.2)","Base 2015=100","94"
"Harmonised Index of Consumer Prices","2013","Water supply and miscellaneous services relating to the dwelling (COICOP 04.4)","Base 2015=100","56.5"
"Harmonised Index of Consumer Prices","2013","Water supply (COICOP 04.4.1)","Base 2015=100","36.4"
"Harmonised Index of Consumer Prices","2013","Refuse collection (COICOP 04.4.2)","Base 2015=100","98.1"
"Harmonised Index of Consumer Prices","2013","Sewerage collection (COICOP 04.4.3)","Base 2015=100","36.4"
"Harmonised Index of Consumer Prices","2013","Other services relating to the dwelling n.e.c. (COICOP 04.4.4)","Base 2015=100","101"
"Harmonised Index of Consumer Prices","2013","Electricity, gas and other fuels (COICOP 04.5)","Base 2015=100","103.9"
"Harmonised Index of Consumer Prices","2013","Electricity (COICOP 04.5.1)","Base 2015=100","96.7"
"Harmonised Index of Consumer Prices","2013","Gas (COICOP 04.5.2)","Base 2015=100","100.4"
"Harmonised Index of Consumer Prices","2013","Liquid fuels (COICOP 04.5.3)","Base 2015=100","134.2"
"Harmonised Index of Consumer Prices","2013","Solid fuels (COICOP 04.5.4)","Base 2015=100","91.3"
"Harmonised Index of Consumer Prices","2013","Heat energy (COICOP 04.5.5)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2013","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","105.4"
"Harmonised Index of Consumer Prices","2013","Furniture and furnishings, carpets and other floor coverings (COICOP 05.1)","Base 2015=100","114.8"
"Harmonised Index of Consumer Prices","2013","Furniture and furnishings (COICOP 05.1.1)","Base 2015=100","114.8"
"Harmonised Index of Consumer Prices","2013","Carpets and other floor coverings (COICOP 05.1.2)","Base 2015=100","102.4"
"Harmonised Index of Consumer Prices","2013","Repair of furniture, furnishings and floor coverings (COICOP 05.1.3)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2013","Household textiles (COICOP 05.2)","Base 2015=100","111.4"
"Harmonised Index of Consumer Prices","2013","Household appliances (COICOP 05.3)","Base 2015=100","103.4"
"Harmonised Index of Consumer Prices","2013","Major household appliances whether electric or not and small electric household appliances (COICOP 05.3.1_2)","Base 2015=100","103.6"
"Harmonised Index of Consumer Prices","2013","Repair of household appliances (COICOP 05.3.3)","Base 2015=100","99.9"
"Harmonised Index of Consumer Prices","2013","Glassware, tableware and household utensils (COICOP 05.4)","Base 2015=100","108"
"Harmonised Index of Consumer Prices","2013","Tools and equipment for house and garden (COICOP 05.5)","Base 2015=100","106.5"
"Harmonised Index of Consumer Prices","2013","Goods and services for routine household maintenance (COICOP 05.6)","Base 2015=100","99.9"
"Harmonised Index of Consumer Prices","2013","Non-durable household goods (COICOP 05.6.1)","Base 2015=100","104"
"Harmonised Index of Consumer Prices","2013","Domestic services and household services (COICOP 05.6.2)","Base 2015=100","95"
"Harmonised Index of Consumer Prices","2013","Health (COICOP 06)","Base 2015=100","100.1"
"Harmonised Index of Consumer Prices","2013","Medical products, appliances and equipment (COICOP 06.1)","Base 2015=100","101.7"
"Harmonised Index of Consumer Prices","2013","Pharmaceutical products (COICOP 06.1.1)","Base 2015=100","102.3"
"Harmonised Index of Consumer Prices","2013","Other medical products, therapeutic appliances and equipment (COICOP 06.1.2_3)","Base 2015=100","99.4"
"Harmonised Index of Consumer Prices","2013","Out-patient services (COICOP 06.2)","Base 2015=100","99.3"
"Harmonised Index of Consumer Prices","2013","Medical services and paramedical services (COICOP 06.2.1_3)","Base 2015=100","99.2"
"Harmonised Index of Consumer Prices","2013","Dental services (COICOP 06.2.2)","Base 2015=100","99.6"
"Harmonised Index of Consumer Prices","2013","Hospital services (COICOP 06.3)","Base 2015=100","100"
